Mockup 1 Labels,Mockup 1,Mockup 1 File Names,Mockup 1 Telescope,Mockup 1 Parallax,Mockup 1 Mask Radius,Mockup 1 Crop,Mockup 1 Band,Mockup 1 Smoothing,Mockup 2 Labels,Mockup 2,Mockup 2 File Names,Mockup 2 Telescope,Mockup 2 Parallax,Mockup 2 Mask Radius,Mockup 2 Crop,Mockup 2 Band,Mockup 2 Smoothing,Mockup 3 Labels,Mockup 3,Mockup 3 Telescope,Mockup 3 File Names,Mockup 3 Parallax,Mockup 3 Mask Radius,Mockup 3 Crop,Mockup 3 Band,Mockup 3 Smoothing,Mockup 4 Labels,Mockup 4,Mockup 4 Telescope,Mockup 4 File Names,Mockup 4 Parallax,Mockup 4 Mask Radius,Mockup 4 Band,Mockup 4 Crop,Mockup 4 Crop,Mockup 4 Smoothing,Mockup 5 Labels,Mockup 5,Mockup 5 Telescope,Mockup 5 File Names,Mockup 5 Parallax,Mockup 5 Mask Radius,Mockup 5 Crop,Mockup 5 Band,Mockup 5 Crop,Mockup 5 Smoothing,Mockup 6 Labels,Mockup 6,Mockup 6 Telescope,Mockup 6 File Names,Mockup 6 Parallax,Mockup 6 Mask Radius,Mockup 6 Band,Mockup 6 Crop,Mockup 6 Smoothing,Mockup 7 Labels,Mockup 7,Mockup 7 Telescope,Mockup 7 File Names,Mockup 7 Parallax,Mockup 7 Mask Radius,Mockup 7 Band,Mockup 7 Crop,Mockup 7 Smoothing,Mockup 8 Labels,Mockup 8,Mockup 8 Telescope,Mockup 8 File Names,Mockup 8 Parallax,Mockup 8 Mask Radius,Mockup 8 Band,Mockup 8 Crop,Mockup 8 Smoothing,Mockup 9 Labels,Mockup 9,Mockup 9 Telescope,Mockup 9 File Names,Mockup 9 Parallax,Mockup 9 Mask Radius,Mockup 9 Band,Mockup 9 Crop,Mockup 9 Smoothing,Mockup 10 Labels,Mockup 10,Mockup 10 Telescope,Mockup 10 File Names,Mockup 10 Parallax,Mockup 10 Mask Radius,Mockup 10 Band,Mockup 10 Crop,Mockup 10 Smoothing,NOTES for Mockup 10
,SU Aur,SU_Aur,VLT,6.370007441,,,,FALSE,,SU Aur,SU_Aur,VLT,6.370007441,,,,FALSE,,SU Aur,VLT,SU_Aur,6.370007441,,,,FALSE,,SU Aur,VLT,SU_Aur,6.370007441,5.5,H,280,280,FALSE,,SU Aur,VLT,SU_Aur,6.370007441,5.5,280,H,280,FALSE,,HD143006,VLT,HD143006_SPHERE,5.97592834,6.5,J,200,FALSE,,HD143006,VLT,HD143006_SPHERE,5.97592834,6.5,J,200,FALSE,,HD143006,VLT,HD143006_SPHERE,5.97592834,6.5,J,200,FALSE,,HD143006,VLT,HD143006_SPHERE,5.97592834,6.5,J,200,FALSE,,HD143006,VLT,HD143006_SPHERE,5.97592834,9,J,200,FALSE,
,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,HD100453,VLT,100453_SPHERE,9.635549075,4.8,J,180,180,FALSE,,HD100453,VLT,HD100453_SPHERE_2016-04-01_J,9.635549075,4.8,180,J,180,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,4.7,H,90,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,4.7,H,90,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,4.7,H,80,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,4.7,H,80,FALSE,,HD139614,GEMINI,HD_139614_GPI_2018-06-08_H,7.483955779,9,H,80,FALSE,
,IM Lup,IM_Lup,VLT,6.417493723,,,,FALSE,,IM Lup,IM_Lup,VLT,6.417493723,,,,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,,,,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,H,400,400,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,400,H,400,FALSE,,GG Tau,VLT,GGTauA,8.591408848,4.7,H,325,FALSE,,GG Tau,VLT,GGTauA,8.591408848,4.7,H,325,FALSE,,GG Tau,VLT,GGTauA,8.591408848,4.7,H,325,FALSE,,GG Tau,VLT,GGTauA,8.591408848,4.7,H,325,FALSE,,GG Tau,VLT,GGTauA,8.591408848,0,H,325,FALSE,Try using LAST slice in the image cube (6th) instead of 2nd
,DoAr 25,DoAr_25,VLT,7.237937625,,,,FALSE,,DoAr 25,DoAr_25,VLT,7.237937625,,,,FALSE,,DoAr 25,VLT,DoAr_25,7.237937625,,,,FALSE,,DoAr 25,VLT,DoAr_25,7.237937625,7.5,H,320,320,FALSE,,DoAr 25,VLT,DoAr_25,7.237937625,7.5,320,H,320,FALSE,,RX J1604.3,VLT,RX_J1604.3-2130A_SPHERE_2017-08-18_J,6.88187666,8.5,J,170,FALSE,,RX J1604.3,VLT,RX_J1604.3-2130A_SPHERE_2017-08-18_J,6.88187666,8.5,J,170,FALSE,,RX J1604.3,VLT,RX_J1604.3-2130A_SPHERE_2017-09-17_J,6.88187666,8.5,J,150,FALSE,,RX J1604.3,VLT,RX_J1604.3-2130A_SPHERE_2017-09-17_J,6.88187666,8.5,J,150,FALSE,,RX J1604.3,VLT,RX_J1604.3-2130A_SPHERE_2017-09-17_J,6.88187666,8.5,J,170,FALSE,
,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,6.6,J,230,230,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,6.6,230,J,230,FALSE,,HD142527,VLT,_142527,6.279091309,15.2,H,350,FALSE,,HD142527,VLT,_142527,6.279091309,15.2,H,350,FALSE,,HD34700,GEMINI,HD_34700_GPI_2018-01-03_J,2.853230347,10,J,140,FALSE,,HD34700,GEMINI,HD_34700_GPI_2018-01-03_J,2.853230347,10,J,140,FALSE,,HD142527,VLT,_142527,6.279091309,15.2,H,370,FALSE,
,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,Empty,Empty,Empty,Empty,,,,FALSE,,Sz 45,VLT,Sz45_2017-03-13_Q_phi_star_pol_subtr_CUBE,5.2944527,5.1,H,150,150,FALSE,,Sz 45,VLT,Sz45_2017-03-13_Q_phi_star_pol_subtr_CUBE,5.2944527,5.1,150,H,150,FALSE,,HD100453,VLT,HD100453_SPHERE_2016-04-01_J,9.635549075,4.8,J,180,FALSE,,HD100453,VLT,HD100453_SPHERE_2016-04-01_J,9.635549075,4.8,J,180,FALSE,,HD100453,GEMINI,HD_100453_GPI_2015-04-10_J,9.635549075,0,J,70,FALSE,,HD100453,VLT,HD100453_SPHERE_2016-04-01_J,9.635549075,5,J,100,FALSE,,HD100453,VLT,HD100_Ip_Qphi_CUBE,9.635549075,13,I',FORCE:140:120,FALSE,new visible light PI image should be much better
,CS Cha,CSCha,VLT,5.925108285,,,,FALSE,,CS Cha,CSCha,VLT,5.925108285,,,,FALSE,,CS Cha,VLT,CSCha,5.925108285,,,,FALSE,,CS Cha,VLT,CSCha,5.925108285,4.5,J,140,140,FALSE,,CS Cha,VLT,CSCha,5.925108285,4.5,140,J,140,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,H,400,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,H,400,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,H,520,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,H,520,FALSE,,IM Lup,VLT,IM_Lup,6.417493723,6.8,H,520,FALSE,backside should be more clearly visible
,HD45677,5677,GEMINI,1.748074813,,,,FALSE,,HD45677,5677,GEMINI,1.748074813,,,,FALSE,,HD45677,GEMINI,5677,1.748074813,,,,FALSE,,HD45677,GEMINI,5677,1.748074813,5.8,H,95,95,FALSE,,HD45677,GEMINI,5677,1.748074813,5.8,95,H,95,FALSE,,DoAr 25,VLT,DoAr_25,7.237937625,7.5,H,320,FALSE,,DoAr 25,VLT,DoAr_25,7.237937625,7.5,H,320,FALSE,,MYLup,VLT,MY_Lup_SPHERE,6.36305,7.5,H,180,FALSE,,MYLup,VLT,MY_Lup_SPHERE,6.36305,7.5,H,180,FALSE,,MYLup,VLT,MY_Lup_SPHERE,6.36305,7.5,H,180,FALSE,
,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,PDS 453,VLT,PDS453,7.74924425,6,H,280,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,PDS453,VLT,PDS453_SPHERE,7.749244,7.5,H,330,FALSE,,PDS453,VLT,PDS453_SPHERE,7.749244,7.5,H,330,FALSE,,PDS453,VLT,PDS453_SPHERE,7.749244,7.5,H,330,FALSE,
,HD142527,142527,VLT,6.279091309,,,,FALSE,,HD142527,142527,VLT,6.279091309,,,,FALSE,,HD142527,VLT,142527,6.279091309,,,,FALSE,,HD142527,VLT,142527,6.279091309,15.2,H,350,350,FALSE,,HD142527,VLT,142527,6.279091309,15.2,350,H,350,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,6.6,J,230,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,6.6,J,230,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,6.6,J,230,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,6.6,J,230,FALSE,,HD34282,VLT,34282_SPHERE,3.240327672,9,J,230,FALSE,
